prompt,completion
What full-time programmes does SASTRA offer?,"B.Tech, 5-Year integrated M.Tech., M.Tech., M.Sc. (2-year programmes in Biotechnology, Chemistry, Data Sciences, Bio-Informatics & Physics), M.C.A., M.B.A., B.Com. (CA), B. Com. (BFSI), B.A./B.Com./B.B.A., LL.B, (Hons.) , B.Sc./B.A., B.Ed. (4-year integrated programmes in English, Mathematics & Physics), M.Sc. (5-year integrated programmes in Biotechnology, Chemistry, Data Sciences, Mathematics & Physics), M.Optom & B.Optom in its Main Campus in Thanjavur.B. Sc., B. Com, B.B.A., B.C.A., M.Sc. (Computer Science, Mathematics, Bio-Chemistry & Microbiology), M.Com. and B. Tech. (CSE & ECE) courses are offered in Srinivasa Ramanujan Centre (off-campus centre of SASTRA recognized by Govt. of India) in Kumbakonam.In addition, it is also proposed to offer PGDM programmes as a stand-alone institution in SASTRA’s proposed off-campus at Chennai subject to approval of competent authority.SASTRA is not having any other off-campus centre. Please bring to the notice of the admissions office if you find any misuse of SASTRA Deemed University's name in any other location. They are not approved by either Government of India or by SASTRA Deemed University."
How are admissions done in sastra?,"The Admissions to various B.Tech. and 5-Year Integrated M.Tech. programmes of SASTRA (main Campus & SRC) shall be done in the following way:Stream 1 – JEE-Main Score & Class XII ScoreAdmission to 70% of seats shall be based on normalised aggregate Class XII Scores and available JEE Main (2022) scores taken together with 50% weightage each. Seats shall be filled based on the Ranks Secured by student.Stream 2 – Class XII ScoreRemaining 30% of seats shall be based on the normalised aggregate Class XII score awarded by the respective boards. Rank list shall be prepared based on this aggregate score and admissions shall be made based on the rank secured.All students shall be considered for both streams by default. If they haven’t written JEE, in Stream 1 there will be no weightage to that part and rank will be based on Class XII scores alone. JEE is not mandatory.The allotment of seats to students completing schooling at Thanjavur & Trichy (20%), Tamilnadu, All India (with reasonable cap for major States) remains unchanged with special provisions for NE States and other special status States/UTs.For all PG programmes, admissions will be made on the basis of the scores in the qualifying UG / PG degree programme. GATE qualified candidates will be given preference for Engineering programmes and for MBA, students with good CAT / XAT / AIMAT / CMAT / AIMCAT scores will be given preference.For all degree programmes in Law, admissions will be based on the CLAT 2022 Scores and +2 aggregate taken in the ratio of 25% : 75% respectively.For all other degree programmes in Sciences, Arts, Commerce, Education, etc., admissions will be based on the qualifying exam marks.Please note that in the event of any changes and unreasonable delay in exams like JEE or CLAT beyond manageable time, then the admission policy shall also be changed at the sole discretion of the university’s competent authority to ensure that there is no collateral damage."
Should I submit separate application for Stream 1 & Stream 2?,No. Applicants are advised to submit application with results of +2 and JEE (Main) along with relevant photocopies. JEE (Main) details is mandatory (if appeared) for those who are applying under Stream 1. The applicant is advised to enter both +2 & JEE (Main) score details in his / her own interest as they can attend both counselling using the same application form.
How will the combined score be calculated if I have not written JEE (Main)?,"If an applicant has not appeared for JEE (Main), for Stream 1, the weighted score for the 50% will be 0 but the +2 aggregate will be given 50% weightage to arrive at the combined score. However, for the Stream 2, the weightage for +2 marks will be 100%. This way, an applicant will be considered in Stream 1 & Stream 2 by default."
What is the eligibility for B. Tech. programmes in sastra university?,"A pass in the +2 examination with Mathematics & Physics as compulsory subjects of study with either Chemistry / Bio-Technology / Computer Science / Biology and recognized by any State Board / Central Board or any other accepted by SASTRA as equivalent to 10+2 examination, with a minimum +2 aggregate of 60% marks in a single sitting.Admission to Biotechnology/Bioengineering/Bioinformatics and 5-Year Integrated M.Tech. programs shall be based on AICTE’s recent policy which doesn’t make Mathematics compulsory.Students with diploma in Engineering / Technology are eligible for direct admission to the second year of the relevant B.Tech. Programme.The candidate should not have completed 20 years as on 1.8.2022. (21 years for Lateral Entry)"
When will the rank list for admission to B.Tech. / 5-Year Integrated M.Tech. be released?,"Application forms will be available online from May 3, 2022 and the last date for submission of completed application forms with JEE Scores and +2 Marks will be August 13, 2022. The rank list will be released by 9 pm on Aug 13, 2022 and will be available at www.sastra.edu. Based on the results, students will participate in counseling for admissions that shall begin on August 16, 2022.For other programmes, the last date to submit the application form will be July 16, 2022."
When will counselling begin in sastra?,"Counselling for B.Tech. (Stream 1 & 2) begins on August 16, 2022 and will be held for atleast 3 weeks.Counselling for admissions to Law programmes shall be held 2 weeks after the release of CLAT 2022 scores.Admissions to all other UG / PG programmes shall be done on a rolling basis as and when application forms are received"
Is there any other method for admission to B.Tech. programmes in sastra?,"Admissions will be done by the Office of Admissions of SASTRA, either in Stream 1 or 2 basis. Do not fall prey to any unauthorized persons / agencies who claim proximity to SASTRA admissions office. Admissions are based only on merit and only tuition fees will have to be paid. No donations or capitation fee. Kindly bring it to the notice of the Office of Admissions if any unauthorized persons / agency approaches you promising admissions.As per the Government norms, provision is made for NRI admissions. Interested students may kindly contact the Office of admissions as per details given below. NRI admissions begin on May 3, 2022 based on online application submission."
Can a seat be reserved in sastra before for admission under the merit category?,No. Admission will be based only on merit after the rank list is released. Only NRI sponsored students' can approach the Office of Admissions for more admission information.
How are admissions to M.Tech. / M.B.A. / M.C.A. and other programmes being conducted in sastra?,Rolling admissions to all the above programmes will be based on the qualifying degree / board marks and applicable competitive exam scores CAT / XAT / AIMAT / CMAT / AIMCAT in the case of MBA and GATE in the case of M.Tech. Provisional admission letter will be sent to the applicant individually by e-mail. No changes in assigned counselling date is possible.
